,True Label,Precision,Recall,F1
0,Ant,0.4,0.6,0.48
1,Mech,0.8526315789473684,0.81,0.8307692307692308
2,Glasses,0.7647058823529411,0.65,0.7027027027027027
3,Chair,0.8623853211009175,0.94,0.8995215311004784
4,Octopus,0.4057971014492754,0.28,0.33136094674556216
5,Bust,0.4358974358974359,0.51,0.4700460829493088
6,Table,0.6891891891891891,0.51,0.5862068965517241
7,Teddy,0.4,0.58,0.473469387755102
8,Airplane,0.6293103448275862,0.73,0.6759259259259258
9,Bearing,0.4857142857142857,0.34,0.4
10,Vase,0.4117647058823529,0.21,0.2781456953642384
11,Fish,0.5307692307692308,0.69,0.6
12,Cup,0.9010989010989011,0.82,0.8586387434554974
13,Armadillo,0.32323232323232326,0.32,0.32160804020100503
14,Bird,0.26881720430107525,0.25,0.25906735751295334
15,Human,0.3564356435643564,0.36,0.35820895522388063
16,Plier,0.8378378378378378,0.93,0.8815165876777251
17,FourLeg,0.32038834951456313,0.33,0.32512315270935965
18,Hand,0.2857142857142857,0.26,0.27225130890052357
19,OVERALL,0.5348257695470487,0.5326315789473685,0.5265559234497482
