stat,mean,median,stddev,min,max
area,1.202118,0.878512,0.873607,0.128029,4.116140
volume,0.004770,0.002723,0.106233,-0.441559,0.502775
aabb_volume,0.242295,0.205221,0.159968,0.008807,0.692085
compactness,1593.556234,999.422371,1958.270458,165.705146,18375.310763
diameter,1.054373,1.022163,0.078500,0.946545,1.450607
eccentricity,18.512629,8.666965,25.493601,1.240419,253.528502
